week,gameId,teamId,unit,unit_snaps,starters_played,starter_snap_share,qb1,qb1_snaps,season
1,2025010,2250,defense,63,9,12.0,,,2025
1,2025011,2510,offense,61,0,0.0,Matthew Stafford,0.0,2025
1,2025011,1200,defense,61,1,1.6,,,2025
1,2025011,1200,offense,58,1,2.0,Dak Prescott,0.0,2025
1,2025011,2510,defense,58,0,0.0,,,2025
1,2025012,4900,offense,66,3,10.2,Baker Mayfield,0.0,2025
1,2025012,2100,defense,66,8,13.1,,,2025
1,2025012,2100,offense,51,8,21.0,Cam Ward,0.0,2025
1,2025012,4900,defense,51,1,2.5,,,2025
1,2025013,2310,offense,59,10,8.3,Patrick Mahomes,2.0,2025
1,2025013,3800,defense,59,9,15.6,,,2025
1,2025013,3800,offense,58,11,25.7,Kyler Murray,16.0,2025
1,2025013,2310,defense,58,10,18.2,,,2025
1,2025014,1800,offense,43,10,22.2,Jordan Love,10.0,2025
1,2025014,3430,defense,43,8,16.5,,,2025
1,2025014,3430,offense,68,9,16.0,Justin Fields,10.0,2025
1,2025014,1800,defense,68,9,13.5,,,2025
1,2025015,4500,offense,47,1,2.3,Brock Purdy,0.0,2025
1,2025015,1400,defense,47,10,18.0,,,2025
1,2025015,1400,offense,70,11,24.5,Bo Nix,18.0,2025
1,2025015,4500,defense,70,5,10.0,,,2025
1,2025016,0810,offense,62,1,2.9,Caleb Williams,0.0,2025
1,2025016,2700,defense,62,10,12.8,,,2025
1,2025016,2700,offense,59,7,19.3,Tua Tagovailoa,15.0,2025
1,2025016,0810,defense,59,3,8.9,,,2025
1,2025017,4400,offense,54,2,2.0,Justin Herbert,0.0,2025
1,2025017,3300,defense,54,5,7.2,,,2025
1,2025017,3300,offense,59,7,19.9,Spencer Rattler,25.0,2025
1,2025017,4400,defense,59,2,2.2,,,2025
2,2025018,0200,offense,61,1,6.4,Michael Penix Jr.,0.0,2025
2,2025018,2100,defense,61,7,12.2,,,2025
2,2025018,2100,offense,59,6,11.2,Cam Ward,0.0,2025
2,2025018,0200,defense,59,4,14.6,,,2025
2,2025019,4600,offense,69,9,16.7,Sam Darnold,10.0,2025
2,2025019,2310,defense,69,6,17.4,,,2025
2,2025019,2310,offense,37,7,13.0,Patrick Mahomes,0.0,2025
2,2025019,4600,defense,37,7,17.2,,,2025
